Column1;Column2;Column3
IDVendedor;NomeVendedor;Regiao
VEN001;Jimmy Patterson;Sudeste
VEN002;Charlene Scott;Nordeste
VEN003;Timothy Sanchez;Nordeste
VEN004;Samantha Becker;Norte
VEN005;Carol Hernandez;Centro-Oeste
VEN006;Drew Lara;Norte
VEN007;Ryan Wilson;Nordeste
VEN008;Jonathan Garcia;Nordeste
VEN009;Linda Smith;Sul
VEN010;Krystal Casey;Norte
VEN011;Patricia Andersen;Norte
VEN012;Cynthia Cain;Nordeste
VEN013;Jason Salas;Norte
VEN014;Tara Edwards;Sul
VEN015;Charles Gonzales;Nordeste
VEN016;Dana Mack;Sul
VEN017;Theresa Harris;Centro-Oeste
VEN018;Mark James;Sul
VEN019;Kevin Williams;Nordeste
VEN020;Steve Garcia;Norte
VEN021;Shawn Estrada;Centro-Oeste
VEN022;Gregory Thomas;Centro-Oeste
VEN023;Zachary Bell;Sul
VEN024;Candice Robbins;Sudeste
VEN025;Patricia Fisher;Sudeste
VEN026;Judith Smith;Nordeste
VEN027;Daniel Garcia;Nordeste
VEN028;James Jones;Norte
VEN029;Victor Castillo;Sul
VEN030;Jimmy Stanton;Centro-Oeste
VEN031;Douglas Jenkins;Sudeste
VEN032;Amy Schultz;Norte
VEN033;Zachary Myers;Centro-Oeste
VEN034;Patricia Morrow;Sudeste
VEN035;Jordan Rice;Norte
VEN036;Kent Bright;Nordeste
VEN037;Manuel Powell;Sudeste
VEN038;Ryan Davila;Sudeste
VEN039;Patrick Martinez;Norte
VEN040;Tiffany White;Sudeste
VEN041;Andrew Cortez;Sudeste
VEN042;Steven Porter;Norte
VEN043;Becky Chapman;Sudeste
VEN044;Brian Thornton;Centro-Oeste
VEN045;Christina Trujillo;Sul
VEN046;Matthew Hawkins;Sul
VEN047;Patricia Jackson;Sudeste
VEN048;Richard Brown;Nordeste
VEN049;James Kennedy;Norte
VEN050;Juan Jackson;Nordeste
